Station,Depth,Lifestyle,Color,Symbol,Layer
DM1,CIL_FL,FL,orange,17,CIL
DM10,CIL_PA,PA,darkolivegreen1,17,CIL
DM11,CIL_PA,PA,darkolivegreen1,17,CIL
DM12,CIL_PA,PA,darkolivegreen1,17,CIL
DM13,CIL_PA,PA,darkolivegreen1,17,CIL
DM14,CIL_PA,PA,darkolivegreen1,17,CIL
DM15,CIL_PA,PA,darkolivegreen1,17,CIL
DM16,CIL_PA,PA,darkolivegreen1,17,CIL
DM17,CIL_PA,PA,darkolivegreen1,17,CIL
DM18,CIL_PA,PA,darkolivegreen1,17,CIL
DM2,CIL_FL,FL,orange,17,CIL
DM3,CIL_FL,FL,orange,17,CIL
DM4,CIL_FL,FL,orange,17,CIL
DM5,CIL_FL,FL,orange,17,CIL
DM6,CIL_FL,FL,orange,17,CIL
DS7,Surface_FL,FL,orange,16,Surface
DM8,CIL_FL,FL,orange,17,CIL
DM9,CIL_FL,FL,orange,17,CIL
DS1,Surface_FL,FL,orange,16,Surface
DS10,Surface_PA,PA,darkolivegreen1,16,Surface
DS11,Surface_PA,PA,darkolivegreen1,16,Surface
DS12,Surface_PA,PA,darkolivegreen1,16,Surface
DS13,Surface_PA,PA,darkolivegreen1,16,Surface
DS14,Surface_PA,PA,darkolivegreen1,16,Surface
DS15,Surface_PA,PA,darkolivegreen1,16,Surface
DS16,Surface_PA,PA,darkolivegreen1,16,Surface
DS17,Surface_PA,PA,darkolivegreen1,16,Surface
DS18,Surface_PA,PA,darkolivegreen1,16,Surface
DS2,Surface_FL,FL,orange,16,Surface
DS3,Surface_FL,FL,orange,16,Surface
DS4,Surface_FL,FL,orange,16,Surface
DS5,Surface_FL,FL,orange,16,Surface
DS6,Surface_FL,FL,orange,16,Surface
DM7,CIL_FL,FL,orange,17,CIL
DS8,Surface_FL,FL,orange,16,Surface
DS9,Surface_FL,FL,orange,16,Surface